,avgGas,timestamp,samples,tokenPrice_open,tokenPrice_close,tokenPrice_low,tokenPrice_high,txFee_open,txFee_close,txFee_low,txFee_high,gasPrice_open,gasPrice_close,gasPrice_low,gasPrice_high,token_name
68,473524037.19076,2024-04-30T02:55:59.407Z,30,1.35,1.35,1.35,1.35,0.0123866792221995,0.013586728500921602,0.011667933013654801,0.015212362944546,0.02,0.02,0.02,1.52,mantle
69,467683156.6810701,2024-04-30T02:25:57.759Z,30,1.35,1.35,1.35,1.35,0.012986007520559402,0.013949627618079902,0.011031465578580901,0.015256059366643203,0.02,0.02,0.02,0.0285,mantle
70,515366135.4306533,2024-04-30T01:55:56.060Z,30,1.35,1.35,1.35,1.35,0.0143991614633346,0.014863906404834303,0.0112997891200905,0.017901659682613803,0.02,0.02,0.02,0.067,mantle
71,460412409.21357656,2024-04-30T01:25:54.425Z,30,1.35,1.35,1.35,1.35,0.014540060455162204,0.012003940519424102,0.011010883530399302,0.016076980166203802,0.02,0.02,0.02,1.52,mantle
72,494138681.2855833,2024-04-30T00:55:52.694Z,30,1.35,1.35,1.35,1.35,0.013176284988796203,0.0199660942191492,0.011142361517297401,0.0199660942191492,0.02,0.02,0.02,0.024,mantle
73,493787986.62847006,2024-04-30T00:25:51.085Z,30,1.35,1.35,1.35,1.35,0.017733796208227803,0.011722244520606303,0.010595391056025303,0.018097541859140105,0.02,0.02,0.02,1.52,mantle
74,453749687.70430005,2024-04-29T23:55:49.390Z,30,1.35,1.35,1.35,1.35,0.0117737666114931,0.010585533149224202,0.009553094599570202,0.016347490269465602,0.02,0.02,0.02,1.52,mantle
75,458829804.6910568,2024-04-29T23:25:47.789Z,30,1.35,1.35,1.35,1.35,0.018432238636825204,0.012818372172545701,0.010953187861675501,0.018432238636825204,0.021,0.02,0.02,1.52,mantle
76,482030089.6713833,2024-04-29T22:55:46.087Z,30,1.35,1.35,1.35,1.35,0.0109252336149342,0.011741733466376402,0.010735767283640401,0.018002376057416402,0.02,0.02,0.02,1.52,mantle
77,490414816.23244673,2024-04-29T22:25:44.660Z,30,1.35,1.35,1.35,1.35,0.010748925831936602,0.0135507746377503,0.010748925831936602,0.03895136376033955,0.02,0.02,0.02,1.52,mantle
