,date,avg_gas_price_in_wei,avg_value_in_wei
1061,2022-11-27,280.0,423902830.9037825
1062,2022-11-28,280.0,375847843.02019393
1063,2022-11-29,280.0,318872166.0976114
1064,2022-11-30,280.0,263282592.84426484
1065,2022-12-01,280.0,234308034.62340352
1066,2022-12-02,280.0,378412475.3890224
1067,2022-12-03,280.0,4808017971.526225
1068,2022-12-04,393.5914866723463,514130045.1939834
1069,2022-12-05,420.0,421108927.6805681
1070,2022-12-06,420.0,246632538.96562496
1071,2022-12-07,420.0,493168848.95329535
1072,2022-12-08,420.0,1244796521.9978876
1073,2022-12-09,420.0,192877537.42905268
1074,2022-12-10,420.0,234692715.81718183
1075,2022-12-11,420.0,6942459444.756188
1076,2022-12-12,420.0,237435091.3513803
1077,2022-12-13,420.0,340312886.0161894
1078,2022-12-14,420.0,459900251.5790129
1079,2022-12-15,420.0,266082484.3919498
1080,2022-12-16,420.0,511462084.379582
1081,2022-12-17,420.0,718303226.1628817
1082,2022-12-18,420.0,302687396.2095709
1083,2022-12-19,420.0,285112687.17391
1084,2022-12-20,420.0,336603341.39643824
1085,2022-12-21,420.0,226101494.54431385
1086,2022-12-22,420.0,350614453.67703396
1087,2022-12-23,420.0,393315909.8315231
1088,2022-12-24,420.0,248269391.65048927
1089,2022-12-25,420.0,252395022.72570112
1090,2022-12-26,420.0,307277181.66463137
1091,2022-12-27,420.0,227182885.06384724
1092,2022-12-28,420.0,262862287.24376276
1093,2022-12-29,420.0,353858877.0067406
1094,2022-12-30,420.0,448352938.5880807
1095,2022-12-31,420.0,1601873133.5861416
1096,2023-01-01,420.0,198859772.1369484
1097,2023-01-02,420.0,321842025.4388419
1098,2023-01-03,420.0,313499125.1136513
1099,2023-01-04,420.0,645543470.9203744
1100,2023-01-05,420.0,249898938063.0452
1101,2023-01-06,420.0,1248581147.670905
1102,2023-01-07,420.0,453466694.59309864
1103,2023-01-08,420.0,411666763.4067555
1104,2023-01-09,420.0,1978413006.1710465
1105,2023-01-10,420.0,128118015573.99538
1106,2023-01-11,420.0,522379491.9176268
1107,2023-01-12,420.0,369572401.2843877
1108,2023-01-13,420.0,537018075.1728247
