,date,avg_gas_price_in_wei,avg_value_in_wei
271,2020-09-28,121958830281.62878,3.0507504857684884e+18
272,2020-09-29,153884906246.99152,3.4048161199573524e+18
273,2020-09-30,119839706019.41908,3.483227781036248e+18
274,2020-10-01,100689398706.429,3.757719036420912e+18
275,2020-10-02,93802832490.4405,3.3839262517701197e+18
276,2020-10-03,79721828265.93709,1.9525923649350208e+18
277,2020-10-04,82995018414.40477,1.821409174987257e+18
278,2020-10-05,90697354382.88318,2.4627625671254446e+18
279,2020-10-06,109228719148.90808,2.4763367892844355e+18
280,2020-10-07,85969485525.12323,3.375409751548124e+18
281,2020-10-08,87110456420.53848,2.9270448184534385e+18
282,2020-10-09,80384447834.89935,3.124235636517923e+18
283,2020-10-10,64194105407.63799,2.2548755320841925e+18
284,2020-10-11,49652278775.77719,1.9598025999645496e+18
285,2020-10-12,76060825053.50902,3.0204479371340227e+18
286,2020-10-13,75077834797.51605,2.3542493292569487e+18
287,2020-10-14,75640402795.7547,3.2418716318805673e+18
288,2020-10-15,74173955478.83891,2.0128753275422364e+18
289,2020-10-16,63065415881.008194,2.559899122197171e+18
290,2020-10-17,36290416262.35707,1.4031282654190646e+18
291,2020-10-18,40181387745.30095,1.4179429772996928e+18
292,2020-10-19,56871154881.71752,2.0050998208368773e+18
293,2020-10-20,61933327272.89144,2.1231822765597683e+18
294,2020-10-21,74175571048.37997,3.246628013526088e+18
295,2020-10-22,63309423350.30838,3.1577793414556467e+18
296,2020-10-23,58481082306.29244,2.5842320308370427e+18
297,2020-10-24,32202171456.63864,1.7901456377004012e+18
298,2020-10-25,33048975891.828003,1.5088572200758113e+18
299,2020-10-26,55956264783.91779,3.042970276952611e+18
300,2020-10-27,43436412771.80046,2.550754581907348e+18
301,2020-10-28,64544389640.98903,3.086744413272072e+18
302,2020-10-29,68635908081.27973,2.043239440184364e+18
303,2020-10-30,63334130885.889534,2.963673491608324e+18
304,2020-10-31,40819990757.10158,1.8491698192293156e+18
305,2020-11-01,33957064322.9794,1.4743816376278364e+18
306,2020-11-02,59554233803.7851,2.8808972806659246e+18
307,2020-11-03,44992814657.42671,2.626419478264078e+18
308,2020-11-04,36928531269.01025,2.9653838560581043e+18
309,2020-11-05,50348497401.23624,3.545337571522511e+18
310,2020-11-06,59741385861.30516,3.6578058899662275e+18
311,2020-11-07,55697489201.246864,3.199447919358167e+18
312,2020-11-08,29269164523.765854,1.5701013857957455e+18
313,2020-11-09,43035304142.63512,2.419025274631793e+18
314,2020-11-10,50065548591.854805,2.2324184395319823e+18
315,2020-11-11,52467069652.63196,2.8186788112141286e+18
316,2020-11-12,58429042419.805885,3.6098430266921544e+18
317,2020-11-13,54829670039.196266,2.8119199328741156e+18
318,2020-11-14,34537576970.28813,1.774589257598132e+18
319,2020-11-15,34541343681.55604,1.6238880364091917e+18
320,2020-11-16,47982462912.06586,2.385262404503302e+18
321,2020-11-17,74859509045.83249,3.498025750190196e+18
322,2020-11-18,80386585191.58636,3.713989668434079e+18
323,2020-11-19,46780485057.61602,2.67036512184891e+18
324,2020-11-20,68352712503.054375,3.117485671229741e+18
325,2020-11-21,66366996355.85455,3.777034631307764e+18
326,2020-11-22,62691736392.75164,3.0525820247001267e+18
327,2020-11-23,76572686830.72186,3.712787128718017e+18
328,2020-11-24,93643584032.79709,4.1162237945663647e+18
329,2020-11-25,61056804849.16437,2.424737182046032e+18
330,2020-11-26,142508151750.8661,4.3026743189277245e+18
331,2020-11-27,45166157919.2839,2.920111480300949e+18
332,2020-11-28,34982462172.71355,1.7200595003093064e+18
333,2020-11-29,30778305114.146885,1.7825564783170327e+18
334,2020-11-30,78968977326.44406,2.7761447944688635e+18
335,2020-12-01,87205318159.89034,3.4849108541979674e+18
336,2020-12-02,44014732423.84687,2.2813431071085056e+18
337,2020-12-03,47036576517.95435,2.1475232743680407e+18
338,2020-12-04,54092994181.2013,2.3221228841192474e+18
339,2020-12-05,37221172518.17057,1.7343369608407729e+18
340,2020-12-06,36431383886.1025,1.5559883305716047e+18
341,2020-12-07,50085919185.4151,2.491401399152472e+18
342,2020-12-08,64449519987.77359,2.223699642113095e+18
343,2020-12-09,65310870135.0932,2.924103902223841e+18
344,2020-12-10,56226333816.46297,2.750671969585913e+18
345,2020-12-11,63668497567.10088,2.6418271234670095e+18
346,2020-12-12,42791998460.33094,1.6016094509902559e+18
347,2020-12-13,45493440304.64162,1.457375463040182e+18
348,2020-12-14,63651900788.048645,1.7011329572314524e+18
349,2020-12-15,84546380644.85289,2.0056317023288192e+18
350,2020-12-16,83587553241.13089,2.586526410663141e+18
351,2020-12-17,138801607913.81406,3.63605624755444e+18
352,2020-12-18,74176915877.27971,2.544877703657619e+18
353,2020-12-19,70160846768.48381,2.588841382859711e+18
354,2020-12-20,44522035266.391495,1.673347645872241e+18
355,2020-12-21,79996112000.00087,3.0200003768416727e+18
356,2020-12-22,66550723623.97168,2.67348287661498e+18
357,2020-12-23,108357199192.92136,2.263477903738685e+18
358,2020-12-24,89678915466.16731,2.5182614404837873e+18
359,2020-12-25,91689520598.13524,1.5709429860529242e+18
360,2020-12-26,66451258570.95596,1.7502435362699884e+18
361,2020-12-27,98648342338.0227,2.8917953849599995e+18
362,2020-12-28,114182109470.56354,2.870708172145972e+18
363,2020-12-29,96061704373.3634,3.42457629748936e+18
364,2020-12-30,113625959314.95576,2.986302319012583e+18
365,2020-12-31,99472810753.51123,2.615890408347475e+18
366,2021-01-01,66554914529.7933,2.2164430834697175e+18
367,2021-01-02,102597133339.74677,2.2000294990445752e+18
368,2021-01-03,170434674928.31815,4.739854185523213e+18
369,2021-01-04,259288889468.1247,5.991758181369388e+18
370,2021-01-05,138112229757.45993,3.8054541370641546e+18
371,2021-01-06,125094721823.63046,4.4168523849581256e+18
372,2021-01-07,132712479400.64948,4.356060597445904e+18
373,2021-01-08,139778688804.5013,4.624544149632664e+18
374,2021-01-09,92556952304.01834,2.615638508399231e+18
375,2021-01-10,87304889370.48198,2.804361697577983e+18
376,2021-01-11,238057080636.59445,5.32225012477564e+18
377,2021-01-12,87023397594.35098,3.1761908185589903e+18
378,2021-01-13,67939047095.47336,3.467657996026348e+18
379,2021-01-14,85428093595.25842,5.621224144727001e+18
380,2021-01-15,94267620299.22032,3.064562420551944e+18
381,2021-01-16,81155243636.93832,2.417699331124179e+18
382,2021-01-17,63891413845.53913,2.1427953508747845e+18
383,2021-01-18,75288452260.25226,2.378104730867851e+18
384,2021-01-19,100870595878.22713,4.3811254091785743e+18
385,2021-01-20,83495583342.23737,4.778880125309499e+18
386,2021-01-21,121038737699.66882,3.764681118381516e+18
387,2021-01-22,131603924412.63838,3.9310775948171167e+18
388,2021-01-23,80164099486.99133,2.16744307873961e+18
389,2021-01-24,81082348704.83865,2.7880042032886886e+18
390,2021-01-25,108152747745.25072,3.338318794660962e+18
391,2021-01-26,84709442538.57556,3.357102946830282e+18
392,2021-01-27,99985074387.26903,3.4940590509023754e+18
393,2021-01-28,94795658263.58841,2.862427829752779e+18
394,2021-01-29,140697168139.439,4.084675981053345e+18
395,2021-01-30,113262068768.05792,2.6839591520692756e+18
396,2021-01-31,128774160162.90433,2.424064781158924e+18
397,2021-02-01,153609470332.74234,2.4511398210284206e+18
398,2021-02-02,175702601861.72394,3.8513628707288233e+18
399,2021-02-03,173430110029.51804,3.58604426077588e+18
400,2021-02-04,232584696124.234,3.8750557061045023e+18
401,2021-02-05,252293672677.4071,3.263434655545988e+18
402,2021-02-06,179605140156.7767,2.8153070657867013e+18
403,2021-02-07,160047169331.5403,2.4096603294533796e+18
404,2021-02-08,212844439512.50443,3.1478211961518275e+18
405,2021-02-09,233531767404.9232,2.7243193132128835e+18
406,2021-02-10,213055186949.39853,2.717810294953779e+18
407,2021-02-11,175171808688.18793,2.382396474656653e+18
408,2021-02-12,180040817792.7743,2.576632893425292e+18
409,2021-02-13,188774871200.2492,1.7853518815524155e+18
410,2021-02-14,150374910619.82797,1.7901767793328323e+18
411,2021-02-15,178687917778.3033,2.2753298307390031e+18
412,2021-02-16,173012727367.8192,2.3142134209199903e+18
413,2021-02-17,173328815928.62744,2.50773872521135e+18
414,2021-02-18,183063076933.23068,2.8985417844863345e+18
415,2021-02-19,186155308216.68164,2.2933851593252552e+18
416,2021-02-20,201502010805.6983,2.652339186452212e+18
417,2021-02-21,144939356482.79364,1.892621489902024e+18
418,2021-02-22,272625997979.60037,3.1906589955854735e+18
419,2021-02-23,373739581390.7752,5.427348528738346e+18
420,2021-02-24,210102244173.17792,3.0488110879983273e+18
421,2021-02-25,165066534102.55188,2.724521605229137e+18
422,2021-02-26,158422334021.6904,3.405219128869582e+18
423,2021-02-27,118441380056.09296,2.1518040372373368e+18
424,2021-02-28,117814040260.27457,2.8821824633561626e+18
425,2021-03-01,118525248946.95128,2.8367903278455956e+18
426,2021-03-02,124896029341.30228,2.5524904849825014e+18
427,2021-03-03,130933502752.5186,2.2005947761336607e+18
428,2021-03-04,112739594672.5153,2.5012182657681526e+18
429,2021-03-05,137748883775.63297,2.3259792822248607e+18
430,2021-03-06,99152597211.2096,2.3695376299540915e+18
431,2021-03-07,132419707722.48468,4.4441421126710487e+18
432,2021-03-08,137106831296.04697,2.6700259752564127e+18
433,2021-03-09,140339603573.77048,2.49518205617265e+18
434,2021-03-10,134097898088.41405,2.4193683383999647e+18
435,2021-03-11,132204094496.8109,2.43945044681198e+18
436,2021-03-12,171717777509.58936,2.9562320879002235e+18
437,2021-03-13,162596396283.53122,1.86005632541884e+18
438,2021-03-14,149005963874.55933,1.3615310422184735e+18
439,2021-03-15,189381466968.46017,2.7400613087238994e+18
440,2021-03-16,188613020945.9796,2.3678032906257183e+18
441,2021-03-17,193695900361.7196,2.243430886858493e+18
442,2021-03-18,177516431366.75266,1.9860129027594184e+18
443,2021-03-19,158726939863.81305,1.7122753234802888e+18
444,2021-03-20,141050761894.62625,1.4323011443929464e+18
445,2021-03-21,138010991414.15417,1.6465572529804111e+18
446,2021-03-22,187397192754.9699,2.1053239786548367e+18
447,2021-03-23,163774256093.07343,1.9449722865374267e+18
448,2021-03-24,176450583060.1101,1.9304545436195492e+18
449,2021-03-25,178983878886.80963,3.1344639635519237e+18
450,2021-03-26,145188740299.04898,2.2653705895335468e+18
451,2021-03-27,118764228601.07835,1.5638347377168146e+18
452,2021-03-28,124030914204.78328,1.3675443592241587e+18
453,2021-03-29,150419052911.25473,2.402173619478331e+18
454,2021-03-30,167227840673.89902,2.5684203531155666e+18
455,2021-03-31,210683711845.7706,2.6018592358266854e+18
456,2021-04-01,191643547601.3203,2.1964235282773824e+18
457,2021-04-02,185994833485.58215,3.100518323325508e+18
458,2021-04-03,145880332241.9513,3.3136565035047685e+18
459,2021-04-04,111793915157.89108,1.7828116572366628e+18
460,2021-04-05,148419496043.41864,2.7611243750617073e+18
461,2021-04-06,152829575831.61407,2.152965050617272e+18
462,2021-04-07,153375395836.102,2.2979355875017265e+18
463,2021-04-08,124062480607.4902,2.1212310419335188e+18
464,2021-04-09,118476181173.64172,1.950424600792504e+18
465,2021-04-10,98163818460.26454,1.91073799377216e+18
466,2021-04-11,85004354969.97119,1.4565919587838628e+18
467,2021-04-12,108970739268.34032,1.9178767962225513e+18
468,2021-04-13,119913853685.6461,2.509963856982468e+18
469,2021-04-14,137354368360.54938,2.7936590923106386e+18
470,2021-04-15,104722889246.47597,2.051365344552912e+18
471,2021-04-16,183382089082.98596,2.595584862558332e+18
472,2021-04-17,144580773143.58447,1.8225165229710257e+18
473,2021-04-18,169829849792.83395,3.9731631507730406e+18
474,2021-04-19,195387851294.574,2.197046532566225e+18
475,2021-04-20,264869631943.33945,1.8698389727617055e+18
476,2021-04-21,165890748473.18805,2.2142491454053445e+18
477,2021-04-22,139575963128.95728,3.196648379301068e+18
478,2021-04-23,123785021786.75258,2.884901998211442e+18
479,2021-04-24,67427189844.432205,1.578478639392872e+18
480,2021-04-25,55253864250.443214,1.434567484058447e+18
481,2021-04-26,62494192448.18275,2.02233236198629e+18
482,2021-04-27,66730253922.75672,2.164323275207375e+18
483,2021-04-28,78962426322.55902,2.307339467493777e+18
484,2021-04-29,71632875443.11371,2.1093510262022912e+18
485,2021-04-30,56565685658.79022,2.1543526653963415e+18
486,2021-05-01,59500173705.370735,1.6565867068346053e+18
487,2021-05-02,42963511162.48603,1.2669281443676173e+18
488,2021-05-03,66702317445.27484,2.724489282955742e+18
489,2021-05-04,68888675441.87302,3.1609117706146514e+18
490,2021-05-05,59219085092.63072,2.403914004216746e+18
491,2021-05-06,65787887101.67918,1.9514062350605896e+18
492,2021-05-07,68190653087.50293,2.386935489397811e+18
493,2021-05-08,139523646464.38574,2.005763394504294e+18
494,2021-05-09,130394088714.96413,1.5438117901803983e+18
495,2021-05-10,237808346698.90283,2.903864471867531e+18
496,2021-05-11,295650603753.684,2.6326017241663355e+18
497,2021-05-12,279335258472.6069,2.8466908294427315e+18
498,2021-05-13,169038579472.6543,3.4986520762685286e+18
499,2021-05-14,127793209706.74504,2.1818015396468111e+18
500,2021-05-15,92282163242.12822,1.6038061197950636e+18
501,2021-05-16,80641585112.27434,1.983553438718725e+18
502,2021-05-17,94640186562.18391,3.064603870157887e+18
503,2021-05-18,87297329335.03577,2.3215784985199606e+18
504,2021-05-19,296349284507.4612,6.855414622802276e+18
505,2021-05-20,125545368221.98352,5.362742500914695e+18
506,2021-05-21,113619880767.95264,3.9518530933380234e+18
507,2021-05-22,55732979186.25946,3.1206500260529797e+18
508,2021-05-23,142482538612.79733,5.300814388016408e+18
509,2021-05-24,67724787746.00014,4.726126019793077e+18
510,2021-05-25,51506862588.49617,4.002820752395921e+18
511,2021-05-26,49578995904.85482,3.269518563919302e+18
512,2021-05-27,38998564482.3142,3.4295402930067e+18
513,2021-05-28,40386908555.091866,3.072691835449118e+18
514,2021-05-29,32585894451.74816,2.7161154888335135e+18
515,2021-05-30,27700068157.242783,2.1064264179484716e+18
516,2021-05-31,31882851354.771908,1.758252247029571e+18
517,2021-06-01,29358883273.422382,2.657749784325444e+18
518,2021-06-02,31879489158.199223,1.993789510009464e+18
519,2021-06-03,33046090567.280617,2.034817244042944e+18
520,2021-06-04,28468378815.48925,2.0870495013122468e+18
521,2021-06-05,21843421497.00248,1.472092146874698e+18
522,2021-06-06,19054767446.95968,1.0369108682324096e+18
523,2021-06-07,24126958664.40615,1.6642959645834511e+18
524,2021-06-08,32003984766.355145,3.177066350121475e+18
525,2021-06-09,27243110558.791924,2.7579616868186706e+18
526,2021-06-10,23519073985.50663,1.5783179065097713e+18
527,2021-06-11,25407025192.00335,1.6927362652158623e+18
528,2021-06-12,22817635981.23052,1.3309013296978545e+18
529,2021-06-13,17240127036.976673,1.0982807893099052e+18
530,2021-06-14,22329293419.745995,1.944960676424164e+18
531,2021-06-15,22741814520.762955,1.541490018050455e+18
532,2021-06-16,22412406807.44504,2.341601313641365e+18
533,2021-06-17,24454278757.96811,1.8504184520019525e+18
534,2021-06-18,23934290187.584465,2.2923679235586665e+18
535,2021-06-19,18271732846.838947,1.1303406368150394e+18
536,2021-06-20,20461255211.708366,1.3917481544970875e+18
537,2021-06-21,45947778823.88342,3.2721598676991846e+18
538,2021-06-22,72220283810.57404,4.1002294270085007e+18
539,2021-06-23,24882489819.393337,1.9050403400532987e+18
540,2021-06-24,21789645826.356655,2.117377243012992e+18
541,2021-06-25,27648428138.343903,2.4441086597045176e+18
542,2021-06-26,18486501652.005535,1.275916132739566e+18
543,2021-06-27,25283920953.467613,1.368147172386316e+18
544,2021-06-28,23457933096.81667,1.802302466729061e+18
545,2021-06-29,25927861514.431965,1.967742559394108e+18
546,2021-06-30,31577636450.443623,1.6888715595147223e+18
547,2021-07-01,24795909715.882927,2.4523651128292204e+18
548,2021-07-02,20446936583.357967,2.395948648759788e+18
549,2021-07-03,18570148138.66144,8.760997124924396e+17
550,2021-07-04,16181244424.77604,9.563323224127488e+17
551,2021-07-05,20025786855.85177,1.3932742725294075e+18
552,2021-07-06,54302742533.07056,1.4938590244304008e+18
553,2021-07-07,39898324649.137695,1.7152159372702671e+18
554,2021-07-08,37032848230.09703,2.5655416319426396e+18
555,2021-07-09,29888127447.724422,1.982225311866544e+18
556,2021-07-10,18730418453.147217,1.2793057146163343e+18
557,2021-07-11,15579853182.095552,6.903791392357848e+17
558,2021-07-12,30077032612.492863,2.1000039742799117e+18
559,2021-07-13,32050780146.589306,1.8181186083552927e+18
560,2021-07-14,45393062502.63962,2.1170784905041984e+18
561,2021-07-15,44630318015.608665,1.6123097290161395e+18
562,2021-07-16,41529027307.78253,2.327568383909459e+18
563,2021-07-17,29584075151.513767,1.0144894417376696e+18
564,2021-07-18,30138354325.333687,9.846842521529759e+17
565,2021-07-19,30067065066.22832,1.843670939157256e+18
566,2021-07-20,34972414485.83223,1.8462186865810568e+18
567,2021-07-21,26812125671.64189,2.2820092097944625e+18
568,2021-07-22,32812415511.230927,1.8105824248835448e+18
569,2021-07-23,34979621698.17677,1.5435591280723525e+18
570,2021-07-24,24579689415.865185,1.1288228482575932e+18
571,2021-07-25,23102047061.264015,8.251945262369321e+17
572,2021-07-26,41511689674.75714,2.40443740718178e+18
573,2021-07-27,40203482114.433754,1.7531407097311962e+18
574,2021-07-28,46172296451.53241,1.468623518691612e+18
575,2021-07-29,33885983927.98796,1.7601027981189133e+18
576,2021-07-30,39023754365.92281,1.7301501741090112e+18
577,2021-07-31,43724164987.48721,1.692812428532072e+18
578,2021-08-01,39059496882.2722,1.3841486699678252e+18
579,2021-08-02,43604005895.56915,1.4003470807010964e+18
580,2021-08-03,48328846956.62068,1.8379297111680456e+18
581,2021-08-04,45233454672.706085,2.000669042015621e+18
582,2021-08-05,63958328851.72267,2.0419329078556936e+18
583,2021-08-06,54095411950.24612,1.954731345184784e+18
584,2021-08-07,53823017551.77758,1.606152779576134e+18
585,2021-08-08,50740583149.606224,1.319439380198082e+18
586,2021-08-09,62245603313.84514,2.32261105946677e+18
587,2021-08-10,65215176707.7696,1.6982967912431964e+18
588,2021-08-11,67302786720.243614,1.4075967277864947e+18
589,2021-08-12,58916336778.92108,1.519142663862948e+18
590,2021-08-13,62916929885.90305,1.699101435515645e+18
591,2021-08-14,53617974435.8784,1.2686183562690678e+18
592,2021-08-15,62553842764.154015,1.2605751355897953e+18
593,2021-08-16,61227895718.27243,2.050047376400601e+18
594,2021-08-17,57136391226.916885,1.6738027044933617e+18
595,2021-08-18,53671161049.215225,1.7708775692328788e+18
596,2021-08-19,51748682012.33945,1.486495512116474e+18
597,2021-08-20,48398307663.6949,1.855754661681543e+18
598,2021-08-21,40395653414.522194,1.0389705680109106e+18
599,2021-08-22,40824934168.14006,1.0510657030280088e+18
600,2021-08-23,67801123728.05056,1.942659220435936e+18
601,2021-08-24,86798598845.18614,2.2935992256397647e+18
602,2021-08-25,102281584368.51524,1.9635462219823944e+18
603,2021-08-26,97977717089.75145,1.4597048286729144e+18
604,2021-08-27,121232572405.49998,1.871371846841632e+18
605,2021-08-28,89483984349.08656,1.2557549583374927e+18
606,2021-08-29,100686224824.3724,1.35303792817112e+18
607,2021-08-30,114338805789.23904,1.7756263699985283e+18
608,2021-08-31,121467889345.0918,2.387761480887922e+18
609,2021-09-01,136212882272.84608,2.2603353164618327e+18
610,2021-09-02,117151148069.79305,2.5016473359271255e+18
611,2021-09-03,159341576689.7779,2.0800000892021937e+18
612,2021-09-04,127146983966.34886,1.302722324961118e+18
613,2021-09-05,116327025580.94562,1.046606141105378e+18
614,2021-09-06,124071173970.43906,1.5059515380707113e+18
615,2021-09-07,213999180196.32507,2.5619330298132086e+18
616,2021-09-08,156644999310.52982,2.2055525770330345e+18
617,2021-09-09,151691169446.68665,2.0242801319670848e+18
