,date,avg_fee,avg_value
340,2020-12-06,268301280.9395685,3986080917429.5054
341,2020-12-07,630688803.4565613,4692328726464.321
342,2020-12-08,304388326.3138352,5002695295033.083
343,2020-12-09,426713480.4324627,6348437828598.304
344,2020-12-10,267039200.7102592,5788975064841.502
345,2020-12-11,497619025.869175,3698109429070.8774
346,2020-12-12,297378357.38142014,4439654831762.528
347,2020-12-13,316633036.3889408,5204352331006.758
348,2020-12-14,384954125.82071555,7008901580088.196
349,2020-12-15,314484816.466318,5713267506651.768
350,2020-12-16,355347022.0335109,5305339262544.493
351,2020-12-17,339802733.6554823,25481215429385.008
352,2020-12-18,349199936.0966571,11659787668552.578
353,2020-12-19,248773745.72370097,14303934910134.957
354,2020-12-20,259025923.8914756,40269473176386.98
355,2020-12-21,597392399.8969023,41370087890653.016
356,2020-12-22,327735350.41207147,31574385351740.855
357,2020-12-23,444113053.5663708,26028173071344.97
358,2020-12-24,302969987.96517414,10689724649764.123
359,2020-12-25,290690767.59783906,15024967409536.316
360,2020-12-26,285221298.9960294,18334349301236.887
361,2020-12-27,302178025.2490532,18460790837253.742
362,2020-12-28,470805682.758324,14132125497143.879
363,2020-12-29,314869804.54239166,19148757986451.766
364,2020-12-30,441502644.7322716,23192165466780.324
365,2020-12-31,306864513.75286907,18868882321357.062
366,2021-01-01,305454679.7852325,22520568761889.727
367,2021-01-02,343089208.2280741,115161598623270.31
368,2021-01-03,367862198.9713718,131511335264302.62
369,2021-01-04,443229093.06240976,97902165263398.9
370,2021-01-05,568222820.6710993,95014831682487.44
371,2021-01-06,347169155.6233516,52980874077165.484
372,2021-01-07,421268145.29264766,49992777674164.2
373,2021-01-08,351041319.08788604,58530556894137.86
374,2021-01-09,343449994.1725318,31753280502090.062
375,2021-01-10,328148297.37240505,26014522959788.547
376,2021-01-11,369169219.3943125,77768330996121.14
377,2021-01-12,448690084.8130396,38700829539727.914
378,2021-01-13,471141946.4407051,22099635538727.42
379,2021-01-14,377013178.42352456,38710855476397.99
380,2021-01-15,401183550.99922895,46275970422870.01
381,2021-01-16,338092158.33283556,20531791716382.605
382,2021-01-17,339908396.6107793,19378307994296.332
383,2021-01-18,605622093.9598179,20204427885455.227
384,2021-01-19,334394102.666958,18814724696875.777
385,2021-01-20,477708104.320262,27773864460331.945
386,2021-01-21,425743319.92339104,19104774596815.617
387,2021-01-22,447526082.6588509,16712634822526.492
388,2021-01-23,431513364.5836586,11587741225394.787
389,2021-01-24,353196907.54954696,9778557082023.277
390,2021-01-25,420124553.4188012,30981171713996.0
391,2021-01-26,343859245.44688314,13312528532872.352
392,2021-01-27,422177530.5134777,60490214965773.73
393,2021-01-28,516167039.2001176,131392093845959.4
394,2021-01-29,484686890.37595105,139682404628436.8
395,2021-01-30,510513885.35811913,110991539966476.52
396,2021-01-31,430602367.8154132,92551502027608.98
397,2021-02-01,531248556.39841646,186798514677830.44
398,2021-02-02,457638161.32758194,143185313988113.97
399,2021-02-03,419297432.1528113,66438761589684.94
400,2021-02-04,442454812.02657366,64976552602602.445
401,2021-02-05,438826300.0511696,81881159679436.39
402,2021-02-06,433772056.03427565,39807061046864.9
403,2021-02-07,476818810.85655147,50977183351667.29
404,2021-02-08,471121699.68700325,99535573264020.12
405,2021-02-09,456119003.1438174,46266730296186.49
406,2021-02-10,433726959.5555745,54948261739381.6
407,2021-02-11,444548763.5053196,40370655715976.97
408,2021-02-12,533037625.24704874,70096059278984.95
409,2021-02-13,620477511.2066083,28183748823585.01
410,2021-02-14,474956690.50555134,58430765634210.08
411,2021-02-15,447865798.9539941,46828212885295.734
412,2021-02-16,430955175.5891944,36659194764347.99
413,2021-02-17,438235087.687068,34733635357734.293
414,2021-02-18,474771023.47320545,35531363035755.39
415,2021-02-19,451975326.6713598,47732658998994.445
416,2021-02-20,459498204.7464071,46109771072571.586
417,2021-02-21,491115763.4676329,26817753060915.465
418,2021-02-22,470026037.8153109,35337188502224.695
419,2021-02-23,439297936.3437493,48377635893915.32
420,2021-02-24,460165086.4066503,56910697161990.39
421,2021-02-25,436278970.07024246,38721756703803.72
422,2021-02-26,583431121.0057741,43314765870775.42
423,2021-02-27,436568752.6907837,40960391594045.71
424,2021-02-28,490438859.10104185,19178014094857.465
425,2021-03-01,448066229.107898,17665603521833.312
426,2021-03-02,375366246.6359608,25621960351313.95
427,2021-03-03,360835419.93188256,28681312113689.28
428,2021-03-04,357888317.834529,23011306566933.035
429,2021-03-05,322999703.9908784,21363784460442.77
430,2021-03-06,289739170.0740139,20748968085644.016
431,2021-03-07,294315941.0147527,15827314419513.592
432,2021-03-08,268314560.16796377,19462904956960.496
433,2021-03-09,316638644.05135345,18513712812716.61
434,2021-03-10,362436814.7533393,17566760821933.344
435,2021-03-11,467040583.6941237,21833496403468.586
436,2021-03-12,563348843.8608007,23549351515743.777
437,2021-03-13,515051001.8692135,31357956570023.504
438,2021-03-14,587196862.1226145,22898153750330.523
439,2021-03-15,547236664.7662185,19757375400755.95
440,2021-03-16,531220017.5734064,19341152177221.97
441,2021-03-17,3030466392.876269,17729694392270.64
442,2021-03-18,529035755.7254705,19777997340294.836
443,2021-03-19,545105307.2624413,18003685703270.84
444,2021-03-20,491730507.92872816,18539147738144.0
445,2021-03-21,474742882.39684427,15022058567573.377
446,2021-03-22,457188201.95646846,18775018471282.73
447,2021-03-23,465968934.5994304,17996391841306.844
448,2021-03-24,440185929.41369087,15198265403348.3
449,2021-03-25,432857071.7729857,14637982851626.951
450,2021-03-26,429799625.7434889,13070840765817.445
451,2021-03-27,405737927.5577817,9311827929508.395
452,2021-03-28,426480402.99354,11958220351086.406
453,2021-03-29,409332208.8202176,9865215406312.217
454,2021-03-30,408215130.8688703,14507293106796.637
455,2021-03-31,401562718.3726265,15294072145015.783
456,2021-04-01,406305040.10084414,37198555427271.13
457,2021-04-02,396038905.9314376,19426604993152.87
458,2021-04-03,376752137.6293487,15768325220144.193
459,2021-04-04,429331478.84423274,19076657726922.32
460,2021-04-05,436739009.7121917,21794570698023.094
461,2021-04-06,462029566.6593483,22912427378816.258
462,2021-04-07,484400062.2046126,33998461207049.37
463,2021-04-08,491970202.9947097,31036587376304.387
464,2021-04-09,488309378.1867717,25527679627774.902
465,2021-04-10,444286475.98453075,27599594147757.973
466,2021-04-11,421803455.9458465,42254660956983.6
467,2021-04-12,418208953.3655824,29651007903032.363
468,2021-04-13,412031242.63698614,35971202843848.35
469,2021-04-14,485013158.06555223,41961719835068.64
470,2021-04-15,562654834.1158769,63082660587092.99
471,2021-04-16,487164222.0021575,56695689848883.555
472,2021-04-17,472891233.5514132,48375317337310.47
473,2021-04-18,465023721.7898,62190020261615.914
474,2021-04-19,609364224.469124,70694755880688.48
475,2021-04-20,646597124.280247,61196939609174.67
476,2021-04-21,602759939.0480415,65634723922153.24
477,2021-04-22,658175533.4558935,86258550506489.17
478,2021-04-23,586710623.8298888,102226969852052.36
479,2021-04-24,651169614.7316473,51043315266368.08
480,2021-04-25,756962898.5731124,76703008070795.81
481,2021-04-26,615573313.7053711,102690038757324.16
482,2021-04-27,810870255.8894969,59944530691450.93
483,2021-04-28,1558464279.1479685,86040599980754.11
484,2021-04-29,857999521.207324,111119636964373.0
485,2021-04-30,783491041.5854814,76526406955032.97
486,2021-05-01,727310860.1537879,67907713223891.86
487,2021-05-02,801917612.4663987,49023671328604.98
488,2021-05-03,777273152.164872,47180573458185.87
489,2021-05-04,656636948.1589513,63840470205588.04
490,2021-05-05,663694531.6206981,61172983169393.29
491,2021-05-06,774705273.3308338,47128237198345.47
492,2021-05-07,731584045.562207,50104362458438.44
493,2021-05-08,660036579.965262,23830415421962.504
494,2021-05-09,744840409.2697725,58545416286711.19
495,2021-05-10,819279519.4631811,46857240799847.555
496,2021-05-11,794618396.7214977,57204372303390.18
497,2021-05-12,790939208.394145,58619460862100.05
498,2021-05-13,768983430.4368013,66611248415579.73
499,2021-05-14,773104221.2334986,56490241710860.76
500,2021-05-15,898912932.9695975,37574466781856.76
501,2021-05-16,1048487998.9673716,71824298905857.3
502,2021-05-17,928147070.3260616,49254916854693.29
503,2021-05-18,1025192288.2767248,44870026239166.81
504,2021-05-19,841989086.915823,61813342338831.516
505,2021-05-20,975614276.7866604,65667845574925.17
506,2021-05-21,993604246.5280432,45105973964427.89
507,2021-05-22,1096699686.5858226,58718798856468.71
508,2021-05-23,1119464521.8553429,125760582686860.44
509,2021-05-24,1016194296.371778,108003064702619.27
510,2021-05-25,1166679855.3182893,60632198854617.37
511,2021-05-26,1125221581.5014882,24912681403531.887
512,2021-05-27,1246275279.7614973,55628926610034.81
513,2021-05-28,1217664344.9640477,45887460214492.36
514,2021-05-29,1264498696.2089584,38599113978521.68
515,2021-05-30,1396844344.8366275,58405938112113.6
516,2021-05-31,1257710137.2252812,62078810031020.336
517,2021-06-01,1238723565.6438775,66815647528125.56
518,2021-06-02,1040433905.8918524,50976012659960.54
519,2021-06-03,1097882915.9588888,146671727978244.62
520,2021-06-04,993104458.8541728,70568700551921.75
521,2021-06-05,1094393709.4239535,22578879710021.81
522,2021-06-06,1225766667.7828388,24626176175226.95
523,2021-06-07,1124624677.1199796,34596556823061.457
524,2021-06-08,1121306780.5825722,40187915791177.79
525,2021-06-09,1136690185.0877535,52157817124793.234
526,2021-06-10,1198271904.0946653,42984585113004.58
527,2021-06-11,1237762435.0986784,33528465061916.504
528,2021-06-12,1251107407.654052,38122853555247.734
529,2021-06-13,1314891324.2753243,43857945542361.086
530,2021-06-14,1170989518.5964916,24518389938964.08
531,2021-06-15,1196093166.6406426,34704156129758.176
532,2021-06-16,1085100025.2048335,38674192389334.414
533,2021-06-17,1260956848.110424,32107660640309.043
534,2021-06-18,1221927894.4467232,45420975146250.88
535,2021-06-19,1265203292.1820416,43499400705079.484
536,2021-06-20,1240958681.790158,40929141049816.96
537,2021-06-21,1026070187.0590162,61136682228273.17
538,2021-06-22,1069514327.615949,65695612430951.44
539,2021-06-23,1122710496.2353947,29488541020187.09
540,2021-06-24,1137453532.44265,19554723909144.574
541,2021-06-25,1081135542.4236338,22028927041160.336
542,2021-06-26,1174934298.0109322,15185757932849.695
543,2021-06-27,1144785585.0421624,15766367764151.469
544,2021-06-28,1050719406.72552,15229454776782.908
545,2021-06-29,1046254644.424246,23944071514100.9
546,2021-06-30,1147272797.9312265,43966877280238.46
547,2021-07-01,1130989015.0389729,13613934498230.607
548,2021-07-02,1250841588.6248455,17597634263653.945
549,2021-07-03,1358613500.7606552,26157945500234.367
550,2021-07-04,1415994969.6408732,21832451664505.863
551,2021-07-05,1394755316.844148,26600189908796.43
552,2021-07-06,1390373672.0574718,103815349975283.48
553,2021-07-07,1350806597.3636248,119490062872036.58
554,2021-07-08,1358031662.6725152,130611105028815.56
555,2021-07-09,1395191687.5460613,105970159452174.31
556,2021-07-10,1438914505.1735942,96346179660456.8
557,2021-07-11,1544564186.9985983,83575180443864.77
